,advisor,author,date_issued,date_created,abstract,subject,title,type
108,"Sotomayor Valenzuela, Narda Lizette","Garcia Poemape, Maiky Ivan",2022-01-21,2021,"La inclusión financiera ha sido un tema de gran interés por distintas organizaciones en las últimas décadas, debido a su gran aporte al crecimiento económico de un país y al bienestar de su población. Es por eso que resulta fundamental evaluar los obstáculos o barreras que impiden a los individuos demandar los servicios financieros. En esta línea se encuentra la presente investigación, analizando los factores socioeconómicos y financieros que desde el punto de vista de la demanda individual afectan a la decisión de adquirir cuentas formales por parte de los excluidos a través de las barreras que perciben. Con el uso de un modelo probit y gracias a la valiosa información de demanda que proporciona la Encuesta Nacional de Demanda de Servicios Financieros y Nivel de cultura Financiera 2015-2016 se realizan las estimaciones de las variables incurridas. De acuerdo con el análisis planteado, la insuficiencia o variabilidad del ingreso y la autoexclusión, ya sea por falta de interés o desconocimiento son las barreras más relevantes en el mercado peruano. Estas se explican por tres tipos de factores: 1.- Variables que describen la vulnerabilidad individual como ingresos, área de residencia, ocupación y características de la vivienda; 2.- Variables que se asocian con poca educación y cultura financiera; y 3.- Variable de género.","Sistema financiero--Perú
Instituciones financieras--Perú
Política financiera--Perú
Servicios financieros--Perú",Factores que determinan la inclusión financiera en el Perú: un análisis de las barreras en la adquisición de cuentas desde la perspectiva de la demanda,https://purl.org/pe-repo/renati/type#tesis
111,"Orihuela Paredes, José Carlos","Eslava Rodriguez, Renata Macarena",2022-01-21,2021,"El Indecopi, en el ejercicio de sus funciones, realiza diversas acciones con el objetivo de proteger los derechos de las y los consumidores. Para ello, a través de la Dirección de Fiscalización (DFI), ejecuta acciones de fiscalización respecto del cumplimiento de las obligaciones legales aplicables a proveedores de actividades económicas bajo su competencia. Debido a que estas acciones de fiscalización coadyuvan al objetivo del Indecopi, se configuran como intervenciones públicas sujetas de ser evaluadas. En el presente Trabajo de Suficiencia Profesional se expone mi experiencia profesional como apoyo especializado en Economía en la DFI, en la evaluación de impacto de las fiscalizaciones realizadas durante el año 2019.1 En específico, se tuvo por objetivo evaluar el impacto de las fiscalizaciones orientativas sobre el nivel de incumplimiento de las obligaciones fiscalizadas. De la evaluación se evidenció que las fiscalizaciones orientativas tienen un impacto efectivo en la disminución del nivel de incumplimiento, es decir, del comportamiento infractor por parte de los proveedores.","Instituto Nacional de Defensa de la Competencia y de la Protección de la Propiedad Intelectual (Perú)
Protección del consumidor--Perú",Evaluación de impacto de las fiscalizaciones realizadas por la Dirección de Fiscalización del Indecopi durante el año 2019,https://purl.org/pe-repo/renati/type#trabajoDeInvestigacion
121,"Glave Testino, Manuel Augusto","Mancilla Marquina, Luis Adolfo
Quiliche Altamirano, Renato José",2022-01-10,2021,"La diversificación de ingresos en los hogares rurales del Perú es un fenómeno que ha evolucionado en respuesta a los distintos cambios políticos, sociales y económicos que se han llevado a cabo desde el siglo pasado (1970 en adelante). El habitante del ámbito rural ha dejado el paradigma dicotómico, en el cual lo rural se reducía estrictamente a lo agropecuario, para adoptar un conjunto de estrategias de supervivencia más complejo, bajo el cual se ha reconocido la importancia de la diversificación de ingresos, así como de la acumulación de capital y la diversificación de la producción dentro del hogar rural. El presente estudio propone un marco teórico de Asignación de Tiempo y Sistemas de Producción Agropecuaria para ilustrar el fenómeno de la diversificación de ingresos en los hogares rurales. Una vez establecido lo anterior, se propone estimar un modelo lineal generalizado de respuesta fraccional para inquirir en los determinantes de este fenómeno, en donde las variables evaluadas serán la tenencia de tierras, el capital humano, los costos de producción agropecuaria y los precios de los bienes agropecuarios. Variables de control adicionales se incluirán para controlar dimensiones geográficas, tanto de la riqueza, como el potencial de desarrollo de mercados locales y la dotación de activos. La contribución del estudio es realizar este análisis empírico para una muestra de escala nacional que será tipificada en sub-muestras según la Vulnerabilidad a la Pobreza de los hogares. Así mismo se usará el Índice de Uniformidad de Shannon como medida multidimensional de la diversificación de ingresos.","Mercado de trabajo--Perú--Zonas rurales
Ingreso familiar--Perú--Zonas rurales
Familia campesina--Aspectos económicos--Perú",Determinantes de la diversificación de ingresos en los hogares rurales del Perú,https://purl.org/pe-repo/renati/type#tesis
122,"Herrera Zúñiga, Javier Ernesto","Iparraguirre Cieza, Yadiraah Estefany
Valer Moscoso, Julio",2021-12-17,2021,"Existe una extensa literatura que da cuenta de que las mujeres se encuentran desfavorecidas en el mercado de trabajo, a pesar de su mayor presencia y mayores años de escolaridad. Por lo cual, sigue siendo importante explorar la brecha salarial de género. En ese sentido, esta investigación busca analizar la brecha salarial neta de género o la asociada a la discriminación, y si esta varía regionalmente y macroregionalmente. Esto, porque existe un vacío en la literatura en cuanto al enfoque regional de la brecha salarial de género. Además, existen otras razones para investigar en este campo, en especial, para replantear las políticas públicas. Se presenta un marco teórico de las determinantes de la brecha salarial de género: capital humano, discriminación, segmentación, segregación, techo de cristal y autoselección. A partir de este marco teórico se proponen las variables explicativas principales que sustentan el modelo econométrico. La metodología usada para estimar las brechas netas de salario se basa en una ecuación minceriana corregida por Heckman. Entre nuestros principales resultados encontramos, en primer lugar, que existe una brecha salarial de género asociada a la discriminación a nivel nacional. Además de ello, encontramos que esta brecha varía espacialmente: la brecha neta rural es mayor a la urbana. En la misma línea, esta brecha también varía macroregionalmente. Asimismo, presentamos las características fundamentales de la brecha, las cuales nos permiten, en asociación con nuestro marco teórico, brindar las sugerencias de política y las conclusiones correspondientes.
There is an extensive literature that shows that women are disadvantaged in the labor market, despite their greater presence and longer years of schooling than men. Therefore, it is still important to explore the gender pay gap. In this sense, this research seeks to analyze the net gender wage gap or that associated with discrimination, and whether it varies regionally and macro-regionally. This is because there is a gap in the literature regarding the regional approach to the gender wage gap. In addition, there are other reasons to do research in this field, especially to rethink public policies. A theoretical framework of the determinants of the gender wage gap is presented: human capital, discrimination, segmentation, segregation, glass ceiling and self-selection. From this theoretical framework, the main explanatory variables that support the econometric model are proposed. The methodology used to estimate the net wage gaps is based on a Mincer equation corrected by Heckman. Among our main results we find, firstly, that there is a gender wage gap associated with discrimination at the national level. Furthermore, we find that this gap varies spatially: the rural net gap is greater than the urban one. This gap also varies macro-regionally. Likewise, we present the fundamental characteristics of the gap, which allow us, in association with our theoretical framework, to provide policy suggestions and corresponding conclusions.","Discriminación sexual en el trabajo--Perú
Salarios--Mujeres--Perú
Mercado de trabajo--Perú
Género--Aspectos económicos--Perú",Brechas salariales de género explicadas por la discriminación en el Perú: un análisis de panel de datos a nivel regional entre el 2015 Y 2019,https://purl.org/pe-repo/renati/type#tesis
123,"Bringas Arbocco, Allan Paul","Sigueñas Ccorahua, Luis Fernando",2021-11-26,2021,"La presente tesis analiza los factores determinantes de la estructura de capital en Perú y Chile durante el periodo 2009-2018. En este sentido, se buscó determinar cuáles de las siguientes variables explicativas son las que inciden principalmente en la toma de decisión referente al nivel de financiamiento eficiente: valor de los activos como colateral, tamaño de la empresa, crecimiento de la empresa, liquidez, rentabilidad, protección fiscal diferente a la deuda y riesgo de negocio. Para ello, se empleó un panel de datos de Efectos Fijos en Primeras Diferencias; del mismo modo, se realizaron diversas pruebas estadísticas como el de Haussmann, Breusch- Pagan y Wooldridge para corroborar y corregir la existencia de autocorrelación entre las variables explicativas, heteroscedasticidad inobservable y argumentar que el modelo estadístico de efectos fijos en primeras diferencias brinda resultados consistentes. Los resultados obtenidos en el análisis empírico indican que el valor de los activos como colateral, el tamaño de la empresa y la liquidez son los principales determinantes de la estructura de capital de las empresas mineras en Perú y Chile. No obstante, los coeficientes de dichas variables en ambos países difieren significativamente, debido al nivel de desarrollo en el sector minero que tiene cada país, al volumen e ingreso de ventas de minerales que poseen y a las facilidades de acceso al financiamiento externo. Finalmente, se espera que este estudio sirva como insumo para futuras investigaciones que se realicen en otros países emergentes; por ejemplo, para realizar un análisis comparativo más amplio que abarque a todos los países de Latinoamérica. Del mismo modo, como el presente trabajo abarca un período pre-pandemia Covid-19, se podría realizar un análisis comparativo tomando como datos los estados financieros de las empresas mineras en Perú y Chile post pandemia, de esa manera se podrían determinar si hay diferencias o no en los principales determinantes de la estructura de capital.","Industria minera--Perú
Industria minera--Chile
Empresas mineras--Aspectos económicos--Perú
Empresas mineras--Aspectos económicos--Chile",Análisis comparativo Perú y Chile: determinantes de la estructura de capital de las empresas mineras durante el período 2009-2018,https://purl.org/pe-repo/renati/type#tesis
124,"Francke Ballvé, Pedro Andrés Toribio Topiltzin","Quispe Ortogorin, Diego",2021-11-26,2021,"En el Perú, según el INEI, en el 2017, el 68% de las mujeres de todo el país reporta haber sido víctima, alguna vez, de violencia por parte de su pareja. Sin embargo, se conoce muy poco sobre los determinantes económicos de la violencia doméstica contra la mujer. El presente estudio tiene como objetivo analizar la relación entre brecha salarial de género y la violencia doméstica en el Perú. En específico, se busca medir el efecto de la brecha salarial de género sobre el riesgo de sufrir violencia doméstica. En este caso, la brecha salarial es una característica del mercado laboral al cual se enfrentan las mujeres en desventaja al que enfrentan los varones. Por tanto, la violencia no se explicaría solo por las características de las mujeres, de la pareja y del hogar; sino también por las condiciones del mercado de trabajo. Se encuentra que brechas salariales amplias están asociadas con mayores incidencias de violencia física y emocional. Este resultado se extiende también a mujeres que no trabajan. Ellas se benefician de una mayor igualdad en el mercado laboral que le provee mejores ingresos potenciales, lo cual aumentaría su poder de negociación dentro del hogar y facilitaría la salida de relaciones violentas.","Violencia contra la mujer--Perú
Mujeres--Perú--Condiciones económicas
Salarios--Mujeres--Perú
Violencia familiar--Perú--Aspectos económicos","Brecha salarial de género y violencia doméstica contra la mujer en el Perú: un enfoque empírico, 2007-2017",https://purl.org/pe-repo/renati/type#tesis
126,"Grompone Velásquez, Alvaro","Tapia Martínez, Ana Paola",2021-10-29,2021,"El desarrollo humano ?entendido como la ampliación de libertades de las personas para hacer y ser lo que valoran? puede estar condicionado por diferentes factores, uno de ellos es el espacio geográfico-social. La literatura y la evidencia empírica de esta investigación señalan que la existencia de factores espaciales como altitud, regiones geográficas y las aglomeraciones urbanas medidas por la fuerza laboral en pequeñas, medianas y grandes empresas condicionan el desarrollo humano de los distritos del Perú. Por un lado, el efecto del espacio geográfico manifestado en la altitud y regiones geográficas puede condicionar la salud e ingresos de las personas. Por otro lado, el espacio social expresado en las aglomeraciones urbanas generan efectos positivos en el desarrollo de las personas debido a la existencia de economías de aglomeración, especialmente, en el mercado de trabajo, a la existencia de redes sociales urbanas (también llamadas ?capital social?) y a la presencia del estado, cuyo tamaño está en función de la dimensión de la aglomeración. Asimismo, la presente investigación plantea una segunda etapa, en la cual se analiza el condicionamiento de los factores espaciales sobre el desarrollo humano tomando en cuenta distintos niveles de cobertura de servicios públicos. Los resultados muestran que, si bien las variables como altitud, regiones geográficas y fuerza laboral en pequeñas, medianas y grandes empresas siguen siendo significativas en los distintos niveles de cobertura de servicios públicos, el efecto sobre el desarrollo se reduce. Los hallazgos de esta investigación presentan que la cobertura eficiente de servicios como agua, saneamiento y electricidad podrían reducir el impacto de variables espaciales geográficas-sociales.","Geografía humana--Aspectos económicos--Perú
Desarrollo humano--Perú
Servicios públicos--Perú",El factor espacial y el rol de los servicios públicos en el desarrollo humano. Un análisis empírico para el caso peruano,https://purl.org/pe-repo/renati/type#tesis
149,"León Castillo, Janina Virginia","Haro Abanto, Marcial Eduardo",2021-09-25,2021-08,"El objetivo del trabajo, de carácter exploratorio, es identificar los posibles determinantes de la eficiencia técnica en las micro y pequeñas empresas del Perú en los sectores de comercio, servicios y manufactura con datos de la Encuesta Nacional de empresas (ENE) del año 2016. El trabajo consta de dos partes. La primera, mediante la metodología DEA (Análisis Envolvente de Datos) no paramétrica se estima los índices de eficiencia técnica (IET). La segunda, a base de la especificación de cuatro técnicas de regresión (MCO, Simar y Wilson, regresión fraccional logística y beta inflacionario unitario) se evalúa los posibles determinantes de dichos índices. Los IET estimados para las microempresas de los sectores de comercio, manufactura y servicios son en, promedio, heterogéneos dentro de cada sector y con una cantidad reducida de firmas cercanas a los niveles de eficiencia deseados, en tanto que para la pequeña empresa estos indicadores tienen un comportamiento similar. Cabe resaltar que en el grupo de la micro empresa, el sector comercio es el que tiene mayor heterogeneidad seguido del sector manufactura y servicios y en la pequeña empresa, el sector comercio tiene una mayor heterogeneidad seguido del sector servicios y manufactura. Respecto a las 4 especificaciones econométricas utilizadas, se concluye que tanto el modelo MCO y Simar y Wilson tienen un mayor poder predictivo que el resto de modelos. Finalmente, respecto a los determinantes de la eficiencia técnica, el capital humano en la empresa, el acceso a financiamiento y el uso de Tecnologías de Información y Comunicación (TICs) tiene efectos positivos en los niveles de eficiencia técnica en tanto que la variable de aglomeración industrial no es significativa.","Pequeñas y medianas empresas--Perú
Eficiencia industrial--Perú
Tecnología de la información--Perú","Determinantes de la eficiencia técnica en micro y pequeñas empresas de los sectores de manufactura, comercio y servicios en el Perú",https://purl.org/pe-repo/renati/type#tesis
153,"Guerra García Picasso, Gustavo","Zapana Solorzano, John Manuel",2021-09-25,2021,"Utilizando los datos del PBI y el gasto público en transporte terrestre desagregados por región, el presente estudio tiene como objetivo analizar el impacto de la infraestructura vial sobre el proceso de convergencia económica entre las regiones del Perú durante el periodo 2001-2019. Para tal efecto, sobre la base de un panel de datos y dentro del marco de la Teoría del Crecimiento exógeno, se emplea un modelo de ?-convergencia condicional donde la infraestructura vial es una de las variables determinantes a estudiar. En general, para el periodo 2001-2019 los resultados se muestran a favor de la hipótesis de convergencia condicional regional con velocidades cercanas al 2% anual. Donde las únicas variables que resultaron significativas fueron las líneas telefónicas per cápita y los créditos privados per cápita. No obstante, al realizar regresiones mediante el uso de variables instrumentales y efectos fijos para los subperiodos anuales: 2001-2015, 2006- 2010, 2006-2014, 2006-2015; se encontró convergencia económica regional condicionada a la infraestructura vial. En ese escenario, la variable de infraestructura vial per cápita resultó ser significativa, pero en términos de magnitud resultó ser pequeño. Así, un aumento del 1 % en la inversión de infraestructura vial per cápita de una determinada región se traducirá en un incremento aproximado de 0.010 % en el crecimiento económico de dicha región hacia su propio estado estacionario. Así también, las velocidades de convergencia resultaron estar por encima del 10 %. Los resultados obtenidos sugieren que las políticas económicas respecto al gasto público en infraestructura vial deberían buscar centrarse en un incremento general a nivel nacional. No obstante, en un contexto de restricción presupuestaria del sector público, debería priorizarse en regiones específicas como las denominadas regiones con efecto impulso. Así, se incrementaría el producto per cápita en estas regiones de manera directa, estimulándose el proceso de convergencia económica condicional en el Perú.","Convergencia (Economía)--Perú
Gastos públicos--Perú
Carreteras--Perú
Gobiernos subnacionales--Perú",Convergencia económica en el Perú y el rol de la infraestructura vial: 2001-2019,https://purl.org/pe-repo/renati/type#tesis
155,"Guerra García Picasso, Gustavo","Trujillo Cabrera, Andrea Isabel",2021-06-06,2021-03,"El crecimiento acelerado de las ciudades sin un plan de ordenamiento territorial se refleja en la distribución desigual de servicios de salud, de educación, de los centros laborales y de los espacios de recreación. Asimismo, el desorden del sistema de transporte convierte el traslado de personas y mercancías en una experiencia traumática. En el Perú, las personas realizan viajes largos para llegar a su destino, lidian con la congestión vehicular a diario, tienen una alta probabilidad de sufrir accidentes debido a los ?correteos? de los vehículos para ganar más pasajeros, y son afectados por la contaminación generada por un parque automotor del transporte público con más de 15 años de antigüedad en promedio. Para aliviar los problemas en el transporte urbano, es necesario recurrir a sistemas de transporte colectivo masivo tales como los sistemas BRT o las líneas de metro. La situación descrita líneas arriba es la que representa a Lima, en donde se han implementado dos modos de transporte para aliviar la congestión en la ciudad: el Metropolitano y la Línea 1 de Metro. Sumando los Corredores Complementarios, sólo el 10% de la demanda por viajes se atiende con servicios de cierta calidad y el 90% restante requiere inversiones en infraestructura de transporte público significativas. Es previsible que, en el futuro próximo, Lima se beneficie de grandes cambios y cuantiosas inversiones en transporte urbano. El objetivo de la presente investigación es analizar qué modo de transporte sería el más adecuado para Lima; para ello, se aplicará la metodología del Análisis Costo Beneficio a dos proyectos: el sistema de buses de tránsito rápido (BRT por sus siglas en inglés) denominado ?COSAC II? y el sistema de Metro Subterráneo ?Línea 2?, que fueron planteados para satisfacer la demanda de pasajeros en el sentido Este-Oeste de la ciudad, siendo el proyecto elegido la Línea 2. La evaluación económica de ambos proyectos adquiere importancia pues los siguientes megaproyectos a implementar son líneas de metro subterráneas, sin haber considerado otras alternativas con similar eficacia y con menor costo de inversión como los BRT, los tranvías, los monorrieles o los trenes elevados.","Transporte urbano--Perú--Lima
Líneas de autobuses--Perú--Lima
Ferrocarriles subterráneos--Perú--Lima
Análisis costo-beneficio",¿Qué le conviene a Lima? ¿Un sistema BRT o una línea de metro subterráneo? Análisis costo beneficio del caso de dos modos de transporte alternativos: Línea 2 del Metro versus Corredor Segregado de Alta Capacidad II,http://purl.org/pe-repo/renati/type#tesis
156,"Garavito Masalías, Carmen Cecilia","Quispe Rios, Alexandra Janet",2021-06-04,2020-12,"La presente investigación tiene como objetivo principal examinar los efectos de largo plazo de una participación temprana en el mercado laboral sobre el nivel salarial adulto usando los datos para el Perú de la Encuesta Niños del Milenio. A partir de las preguntas sobre uso de tiempo realizadas a la cohorte mayor en la segunda ronda (2006) y las preguntas de empleo e ingresos en la quinta ronda (2016), cuantificamos las repercusiones dinámicas del trabajo infantil en un espacio de tiempo de diez años. Especificamos un modelo de regresión multivariado de línea base en que el logaritmo de los ingresos laborales por hora depende de la participación laboral temprana, logro educativo, indicadores de habilidades cognitivas y no cognitivas y controles socioeconómicos. Con la finalidad de evaluar la presencia de sesgo de selección muestral, también se realiza estimaciones empleando el modelo de selección muestral de Heckman. Los principales resultados obtenidos indican que el trabajo de mercado durante la niñez obstaculiza la acumulación de capital humano, precisamente, en etapas de desarrollo clave para la formación de habilidades. De esa manera, una participación temprana en el mercado laboral peruano está asociada con una reducción significativa de los ingresos laborales en el largo plazo. Asimismo, encontramos efectos diferenciados del trabajo infantil sobre los ingresos laborales por área geográfica y género. Estos hallazgos sugieren que la exposición al trabajo infantil coloca en desventaja en el mercado laboral a los adultos jóvenes por lo que resulta crucial impulsar políticas que incentiven las inversiones en educación desde etapas tempranas de la vida y que favorezcan el trabajo decente de los jóvenes.","Trabajo infantil--Perú
Salarios--Perú
Mercado de trabajo--Perú
Capital humano--Perú",¿Cuán importantes son las horas de trabajo durante la niñez para explicar diferencias de ingresos laborales posteriores en el mercado laboral peruano?,http://purl.org/pe-repo/renati/type#tesis
157,"López Vargas, Kristian","Siccha Lazaro, Bertha Estefany
Kong Vega, Carlos Daniel",2021-06-03,2021-04,"Dishonest acts such as corruption, fraud, and tax evasion reduce economic growthand social development. Traditional economics has studied the decision to engage in dishonesty through cost-benefit analysis. However, recent research has shown that this approach is limited, which is the reason why we choose to take a behavioral perspective to investigate dishonesty. Mainly, it seeks to analyze the relationship between dishonesty and social norms with university students. For this purpose, we carried out economic experiments in a laboratory setting. In the experiments, the core activity consisted of rolling a die twelve times and reporting each result obtained anonymously. To perform an intra-individual analysis, each subject is subjected to two rounds: a control and a treatment. At the beginning of the treatment rounds, information on the behavior of other participants was provided through messages that indicated the average gain in previous sessions. The students were divided into two experimental groups (A and B), according to the type of information they received. In the case of the first, it highlighted the honest behaviorsof the participants, while - for the second - the dishonest. Despite finding robust evidence of dishonesty at the group level, results do not show significant differences between the control round and the treatment round. However, it was found that gender and career are associated with higher levels of dishonesty, with women and economists reporting higher numbers compared to the other participants. For future research it is recommended to introduce a control group, as well as to increase the number of participants exposed to the different treatments. In the same way, it is proposed that future research design treatments that are easier to understand and that can be applied in different universities or other settings.
Los actos deshonestos como la corrupción, el fraude y la evasión de impuestos limitan el crecimiento económico y el desarrollo de la sociedad. Desde la Economía la deshonestidad ha sido estudiada desde un enfoque analítico de costo-beneficio;no obstante, en la presente investigación se ha optado por estudiar el fenómeno desdeuna perspectiva más comportamental. Principalmente, se busca analizar la relación entre la deshonestidad y las normas sociales en una muestra de estudiantes universitarios. Para lograr ello, se realizaron experimentos económicos. La actividad básica de los alumnos consistió en lanzar un dado12 veces y reportar cada resultado obtenido anónimamente. Cada sujeto es sometido ados rondas: una de control y otra de tratamiento, con el fin de realizar un análisis intra-individuo. Al inicio de las rondas de tratamientos, se brindó información sobre el comportamiento de otros participantes mediante mensajes que señalaban la ganancia promedio en anteriores sesiones. Los estudiantes fueron divididos en dos grupos experimentales (A yB), según el tipo de información que recibían. En el caso del primero, esta resaltaba los comportamientos honestos de los participantes, mientras que ?para el segundo? los deshonestos. A pesar de encontrarse evidencia robusta de deshonestidad a nivel grupal, no se obtuvo diferencias significativas entre la ronda de control y la ronda de tratamiento. Sin embargo, se encontró que el género y la carrera están asociados a mayores niveles de deshonestidad, siendo las mujeres y los economistas quienes reportaban números más altos respecto a los demás participantes. Para futuras investigaciones se recomienda introducir un grupo de control, así comoaumentar el número de participantes expuestos a los diferentes tratamientos. Del mismomodo, se propone que futuras investigaciones diseñen tratamientos que sean más fácilesde entender y que puedan ser aplicados en diferentes universidades o en otros ambientes.","Honestidad
Normas sociales
Estudiantes universitarios--Perú
Diseño experimental--Perú","¿Si él no es honesto, por qué yo sí? El efecto de las normas sociales en la deshonestidad",http://purl.org/pe-repo/renati/type#tesis
158,"García Núñez, Luis Javier","Valverde Romero, Ana Paula Ximena",2021-05-11,2021,"La presente investigación tiene como objetivo establecer los factores sociales y económicos asociados a la obesidad en la población peruana. Para ello, se utilizó los datos de la Encuesta Demográfica y de Salud Familiar (ENDES) para el periodo 2018. Se empleó un modelo de corte transversal, Logit Ordenado, donde se tiene como variable dependiente el estado nutricional de la persona en observación, categorizada según su Índice de Masa Corporal (IMC) y, como variables independientes: el quintil de riqueza, nivel de educación, región natural, tipo de residencia, altitud, consumo de bebidas alcohólicas y cigarrillos, además del sexo, edad y fecundidad en el caso de la población femenina. En los resultados se obtuvo que la obesidad es mayor en las mujeres y menor en la población entre 15-19 años. Los determinantes sociales fueron vivir en la Costa, tener hasta educación primaria, quintil medio, vivir en área urbana, consumir bebidas alcohólicas y cigarrillos y, vivir en zona con menor altitud. La importancia de la investigación radica en las altas tasas de obesidad que se presentan en la actualidad y el hecho de que la obesidad sea un factor riesgo para el desarrollo de numerosas enfermedades no transmisibles, las cuales son la causa principal de mortalidad a nivel mundial y responsables de más de mitad de muertes en el Perú. Los estudios realizados sobre los determinantes asociados a la prevalencia de obesidad en Perú han estado enfocados principalmente en la población femenina debido a que son trabajos con fecha 2012, año para el cual la ENDES no incluía la población masculina. Por ello, el trabajo permite contribuir a los estudios en esta línea, siendo una fuente actualizada y completa.","Obesidad--Aspectos sociales--Perú
Obesidad--Aspectos económicos--Perú
Obesidad--Perú",Determinantes socioeconómicos de la obesidad en el Perú,http://purl.org/pe-repo/renati/type#tesis
159,"León Castillo, Janina Virginia","Vidal Ruiz, Angela Rubi",2021-05-10,2021,"La presente tesis analiza los determinantes del uso del crédito de las microempresas formales del sector comercio en Perú entre los años 2014 y 2016, para lo cual se consideraron variables a nivel de la empresa como tamaño, años de experiencia, recibió capacitación en temas financieros y ubicación geográfica, también variables a nivel del conductor como sexo, edad y nivel educativo, variables que fueron escogidas tras la revisión de literatura. Para esto se trabajó con un pool de datos obtenido uniendo la Encuesta Nacional de Empresas de tres años. Asimismo, se utilizó un modelo logit para estimar el porcentaje en que las características influyen en las probabilidades de usar un crédito. La literatura empírica revisada, a nivel de Latinoamérica y Perú, sugiere que a mayor sea el tamaño de la empresa, mayores sean las probabilidades de hace uso del crédito, así como también que el conductor tenga mayor nivel de estudio o que sea hombre incrementan estas probabilidades. Los resultados obtenidos muestran que las variables propuestas son significativas al 1%, además, estos concuerdan con lo señalado en la literatura empírica. Acerca de las variables del conductor de la microempresa, se obtuvo que cuando el este es hombre tiene más de probabilidades de hacer uso que cuando es mujer. En esta misma línea, cuando el conductor ha concluido sus estudios superiores, tiene más probabilidades que uno que no concluyó su educación básica. Respecto de las variables de las características de la empresa, a medida que se incrementa el nivel de ventas, las empresas harán un menor uso del crédito, asimismo, el historial crediticio influye en que la microempresa pueda hacer uso de uno.
This thesis analyzes what are the determinants of the use of credit in commerce formal micro-enterprises in Peru between 2014 and 2016, there have been considered variables at the company level such as size, years of experience, received training in financial topics and geography location, also variables at the driver level such as sex, age and educational level, variables that were chosen after the literature review. For this, I worked with a data pool obtained by appending the National Survey of Enterprise of three years, from 2015 to 2017. Likewise, a logit model was used to estimate the percentage in which the characteristics influence the probabilities of using a loan. The empirical literature reviewed, at the level of Latin America and Peru, suggests that the larger the size of the company, the greater the probabilities of using credit, as well, as that the driver has a higher level of education or that he is a man, these increase probabilities. The results obtained show that the proposed variables are significant at 1%, furthermore, they are consistent to what was indicated in the empirical literature. About the driver variables, it was obtained that when the driver is a man, he is more likely to use credit that when driver is a woman. In addition, when the driver has completed his higher education, he is more likely than one who did not complete his school studies. Regarding the variables of the characteristics of the company, as the level of sales increases, companies will make less use of credit, likewise, credit score influences whether the microenterprise can make use of one.","Pequeñas empresas--Finanzas--Perú
Pequeñas empresas--Aspectos económicos--Perú
Crédito bancario--Perú",Determinantes del uso del crédito de las microempresas formales del sector comercio en el Perú 2014 -2016,http://purl.org/pe-repo/renati/type#tesis
160,"Rodríguez Briones, Gabriel Hender","Fernández Prada Saucedo, Jean Pierre",2021-03-10,2020,"Seven GARCH and stochastic volatility (SV) models are compared to model empirically the volatility of returns on four commodities relevant for South America economies: gold, copper, oil, and natural gas. Our results show that SV models outperform GARCH models on average. We find that the best-performing return volatility models are: GARCH-t for gold, SV-t for copper and oil, and SV with leverage effects (SV-L) for natural gas. The inclusion of fat tails and jumps components largely raise the performance of GARCH models, while this contribution is less for SV models. Even, SV models with jumps are usually outperformed by the basic SV model. We also find evidence of a leverage effect in oil and copper, resulting from their dependence on world economic activity; and of an inverse leverage effect in gold and natural gas, consistent with the former's role as safe asset and with uncertainty about the latter's future supply. Additionally, in most cases there is no evidence of an impact of volatility on the mean or MA-type first order autocorrelation.","Precios--Modelos econométricos
Inversiones--Modelos matemáticos
Productos básicos--Precios--Modelos econométricos
Acciones (Bolsa)--Modelos econométricos",Modeling the volatility of returns on commodities: an application and empirical comparison of GARCH and SV models,http://purl.org/pe-repo/renati/type#tesis
161,"Rodríguez Briones, Gabriel Hender","Portilla Goicochea, Jhonatan Josue",2021-01-28,2020,"This paper investigates the evolution of the monetary policy in Peru between 1996Q1 and 2016Q4 using a mixture innovation time-varying parameter vector autoregressive model with stochastic volatility (TVP-VAR-SV)model proposed by Koopetal.(2009).The main empirical results are:(i)VARcoe¢cients and volatilities change more gradually than covariance errors overtime;(ii)the volatility of monetary policy shocks is higher during pre-In ation Targeting (IT) regime;(iii)a surprise increase in the interest rate produces GDP growth falls and reduces in ation in the longrun;(iv)the interest rate reacts more quickly against aggregate supply shocks than aggregate demand shocks;(v)monetary policy shocks explain a high percentage of domestic variables during pre-IT regime and then,their contribution decrease during IT-regime.","Política monetaria--Perú
Perú--Condiciones económicas
Estadística bayesiana
Tasas de interés--Perú
Perú--Política económica",Evolution of the monetary policy in Peru: an empirical application using a mixture innovation TVP-VAR-SV Model,http://purl.org/pe-repo/renati/type#tesis
